domain,class_label,length,sld_length,n_labels,digit_count,digit_ratio,alpha_count,alpha_ratio,hyphen_count,hyphen_ratio,vowel_count,vowel_ratio,consonant_count,consonant_ratio,unique_chars,unique_char_ratio,hex_char_ratio,char_entropy,bigram_entropy,trigram_entropy,longest_consonant_run,longest_digit_run,consec_consonant_ratio,consec_digit_ratio,repeated_char_ratio,gini_index,has_digits,starts_with_digit,digit_alpha_transitions,max_label_length,mean_label_length,std_label_length,tld_is_common,sld_digit_ratio,sld_entropy,subdomain_count,markov_log_likelihood,kl_div_from_benign,compression_ratio
nsatc.net,benign,9.0,5.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,0.25,6.0,0.75,6.0,0.75,0.375,2.5,2.807355,2.5849626,3.0,0.0,0.375,0.0,0.33333334,0.8125,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,2.321928,0.0,4.9814286,0.99200433,2.0
rentola.gr,benign,10.0,7.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,3.0,0.33333334,6.0,0.6666667,8.0,0.8888889,0.22222222,2.947703,3.0,2.807355,2.0,0.0,0.22222222,0.0,0.125,0.86419755,0.0,0.0,0.0,7.0,4.5,2.5,0.0,0.0,2.807355,0.0,3.05125,0.750388,1.8888888
bukabuku.com,benign,12.0,8.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,5.0,0.45454547,6.0,0.54545456,7.0,0.6363636,0.36363637,2.6635327,2.9219282,2.947703,1.0,0.0,0.09090909,0.0,0.42857143,0.8264463,0.0,0.0,0.0,8.0,5.5,2.5,1.0,0.0,1.905639,0.0,6.788,1.7299011,1.7272727
prdl.org,benign,8.0,4.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.14285715,6.0,0.85714287,6.0,0.85714287,0.14285715,2.5216405,2.5849626,2.321928,4.0,0.0,0.5714286,0.0,0.16666667,0.81632656,0.0,0.0,0.0,4.0,3.5,0.5,1.0,0.0,2.0,0.0,6.445,1.3927294,2.142857
agoravox.tv,benign,11.0,8.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,4.0,0.4,6.0,0.6,7.0,0.7,0.2,2.7219281,3.169925,3.0,3.0,0.0,0.3,0.0,0.42857143,0.84,0.0,0.0,0.0,8.0,5.0,3.0,1.0,0.0,2.5,0.0,7.733333,1.484585,1.8
augailou.com,benign,12.0,8.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,7.0,0.6363636,4.0,0.36363637,8.0,0.72727275,0.27272728,2.9139771,3.321928,3.169925,1.0,0.0,0.09090909,0.0,0.375,0.8595041,0.0,0.0,0.0,8.0,5.5,2.5,1.0,0.0,2.5,0.0,6.482,1.0279534,1.7272727
alexislemonae.com,benign,17.0,13.0,2.0,0.0,0.0,16.0,1.0,0.0,0.0,8.0,0.5,8.0,0.5,10.0,0.625,0.375,3.2028196,3.7735572,3.807355,2.0,0.0,0.125,0.0,0.5,0.8828125,0.0,0.0,0.0,13.0,8.0,5.0,1.0,0.0,3.0269868,0.0,4.43,0.73064506,1.5
anagrams.net,benign,12.0,8.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,4.0,0.36363637,7.0,0.6363636,8.0,0.72727275,0.36363637,2.845351,3.321928,3.169925,3.0,0.0,0.27272728,0.0,0.25,0.8429752,0.0,0.0,0.0,8.0,5.5,2.5,1.0,0.0,2.4056392,0.0,4.708,0.81141424,1.7272727
parrotdns.com,benign,13.0,9.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,3.0,0.25,9.0,0.75,10.0,0.8333333,0.25,3.251629,3.4594316,3.321928,5.0,0.0,0.41666666,0.0,0.2,0.8888889,0.0,0.0,0.0,9.0,6.0,3.0,1.0,0.0,2.947703,0.0,5.58,0.68997335,1.6666666
bstelecom.ru,benign,12.0,9.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,4.0,0.36363637,7.0,0.6363636,10.0,0.90909094,0.36363637,3.2776134,3.321928,3.169925,3.0,0.0,0.27272728,0.0,0.1,0.892562,0.0,0.0,0.0,9.0,5.5,3.5,1.0,0.0,2.947703,0.0,5.017,0.7216214,1.7272727
